Rank,Movie Title,Year of Release,Run Time (minutes),Rating,Star Rating,Metascore,Number of Votes,Gross Revenue in millions (USD)
289,The Red Shoes,1948,135,Not Rated,8.1,,37540,10.9
290,Farewell My Concubine,1993,171,R,8.1,83,31565,5.22
291,Bajrangi Bhaijaan,2015,163,Not Rated,8.1,,93667,8.18
292,Wild Strawberries,1957,91,Not Rated,8.1,88,111782,
293,A Woman Under the Influence,1974,155,R,8.1,88,27413,13.34
294,Fanny and Alexander,1982,188,R,8.1,100,66008,4.97
295,The Battle of Algiers,1966,121,Not Rated,8.1,96,63547,0.06
296,Andrei Rublev,1966,205,R,8.1,,55798,0.1
297,Yi Yi: A One and a Two...,2000,173,Not Rated,8.1,94,27022,1.14
298,Underground,1995,167,Not Rated,8.1,79,60091,0.17
299,The Message,1976,177,PG,8.1,,49608,
300,Lagaan: Once Upon a Time in India,2001,224,PG,8.1,84,118102,0.91
301,Mr. Smith Goes to Washington,1939,129,Passed,8.1,73,118934,9.6
302,Inherit the Wind,1960,128,Passed,8.1,75,31899,
303,Winter Sleep,2014,196,Not Rated,8.1,88,53879,0.17
304,Diabolique,1955,117,Not Rated,8.1,,67992,1.09
305,The Virgin Spring,1960,89,Not Rated,8.1,,30801,1.53
306,The General,1926,78,Passed,8.1,,95441,1.03
307,The Hidden Fortress,1958,126,Not Rated,8.1,89,41043,
308,Sunrise,1927,94,Passed,8.1,95,52837,0.54
309,The Passion of Joan of Arc,1928,114,Passed,8.1,98,58453,0.02
310,Wolf Children,2012,117,PG,8.1,71,47696,
311,Dil Chahta Hai,2001,183,Not Rated,8.1,,74464,0.3
312,Autumn Sonata,1978,99,PG,8.1,,36542,
313,Barfi!,2012,151,Not Rated,8.1,,84818,2.8
314,White Heat,1949,114,Not Rated,8.1,89,34762,
315,A Wednesday,2008,104,Not Rated,8.1,,80820,
316,Throne of Blood,1957,110,Not Rated,8.1,,54476,
317,Masaan,2015,109,,8.1,,29828,
318,Ace in the Hole,1951,111,Approved,8.1,72,38090,3.97
319,Munna Bhai M.B.B.S.,2003,156,Not Rated,8.1,,85722,
320,Kahaani,2012,122,Not Rated,8.1,,64518,1.04
321,The Gold Rush,1925,95,Passed,8.1,,115593,5.45
322,Nights of Cabiria,1957,110,Not Rated,8.1,,50920,0.75
323,Raise the Red Lantern,1991,125,PG,8.1,,34381,2.6
324,Rang De Basanti,2006,167,Not Rated,8.1,,121146,2.2
325,Hera Pheri,2000,156,Not Rated,8.1,,70489,
326,Jean de Florette,1986,120,PG,8.1,,26923,4.94
327,Time of the Gypsies,1988,142,R,8.1,,32013,0.28
328,The Grand Illusion,1937,113,Not Rated,8.1,,38058,0.17
329,Udaan,2010,134,Not Rated,8.1,,46262,0.01
330,Talvar,2015,132,Not Rated,8.1,,36975,0.34
331,Rififi,1955,118,Not Rated,8.1,97,36008,0.06
332,Pink,2016,136,Not Rated,8.1,,46961,1.24
333,Tangerines,2013,87,Not Rated,8.1,73,47949,0.14
334,Sholay,1975,162,Not Rated,8.1,,57663,
335,Chak De! India,2007,153,Not Rated,8.1,68,83023,1.11
336,Article 15,2019,130,Not Rated,8.1,,35678,
337,The Bandit,1996,128,Not Rated,8.1,,71274,
338,Sarfarosh,1999,174,Not Rated,8.1,,26433,
339,The Circus,1928,72,Passed,8.1,90,35242,
340,Queen,2013,146,Not Rated,8.1,,67473,1.43
341,Her Sey Çok Güzel Olacak,1998,107,,8.1,,26726,
342,Black,2005,122,Not Rated,8.1,,35624,0.73
343,Anand,1971,122,Not Rated,8.1,,34724,
344,Dune,2021,155,PG-13,8.0,74,714381,108.33
345,Blade Runner 2049,2017,164,R,8.0,81,622775,92.05
346,Sin City,2005,124,R,8.0,74,783870,74.1
347,Black Swan,2010,108,R,8.0,79,799325,106.95
348,Guardians of the Galaxy,2014,121,PG-13,8.0,76,1242948,333.18
349,La La Land,2016,128,PG-13,8.0,94,633317,151.1
350,The Princess Bride,1987,98,PG,8.0,77,440433,30.86
351,Donnie Darko,2001,113,R,8.0,88,829317,1.48
352,Blood Diamond,2006,143,R,8.0,64,571231,57.37
353,The Martian,2015,144,PG-13,8.0,80,893726,228.43
354,Her,2013,126,R,8.0,91,646722,25.57
355,Zootopia,2016,108,PG,8.0,78,526279,341.27
356,Deadpool,2016,108,R,8.0,65,1087114,363.07
357,Rio Bravo,1959,141,Passed,8.0,93,66241,12.54
358,The Imitation Game,2014,114,PG-13,8.0,71,802115,91.13
359,The Avengers,2012,143,PG-13,8.0,69,1432277,623.28
360,The Revenant,2015,156,R,8.0,76,843123,183.64
361,CODA,2021,111,PG-13,8.0,72,152485,
362,The Incredibles,2004,115,PG,8.0,90,778017,261.44
